Module,File,Line,Hard-coded value,Expected config section/key
OpenSim.Region.ScriptEngine.Shared.Api,OpenSim/Region/ScriptEngine/Shared/Api/Implementation/OSSL_Api.cs,203,"""VeryLow""",
OpenSim.Region.ScriptEngine.Shared.Api.Plugins,OpenSim/Region/ScriptEngine/Shared/Api/Implementation/Plugins/SensorRepeat.cs,83,16,
OpenSim.Region.PhysicsModule.BulletS,OpenSim/Region/PhysicsModules/BulletS/BSScene.cs,386,"""BulletUnmanaged""",BulletSim:BulletEngine
OpenSim.Region.PhysicsModule.BulletS,OpenSim/Region/PhysicsModules/BulletS/BSScene.cs,390,false,BulletSim:PhysicsLoggingEnabled
OpenSim.Region.PhysicsModule.BulletS,OpenSim/Region/PhysicsModules/BulletS/BSScene.cs,391,""".""",BulletSim:PhysicsLoggingDir
OpenSim.Region.PhysicsModule.BulletS,OpenSim/Region/PhysicsModules/BulletS/BSScene.cs,392,"""physics-%REGIONNAME%-""",BulletSim:PhysicsLoggingPrefix
OpenSim.Region.PhysicsModule.BulletS,OpenSim/Region/PhysicsModules/BulletS/BSScene.cs,393,5,BulletSim:PhysicsLoggingFileMinutes
OpenSim.Region.PhysicsModule.BulletS,OpenSim/Region/PhysicsModules/BulletS/BSScene.cs,394,false,BulletSim:PhysicsLoggingDoFlush
OpenSim.Region.PhysicsModule.BulletS,OpenSim/Region/PhysicsModules/BulletS/BSScene.cs,395,false,BulletSim:PhysicsPhysicalDumpEnabled
OpenSim.Region.PhysicsModule.BulletS,OpenSim/Region/PhysicsModules/BulletS/BSScene.cs,397,false,BulletSim:VehicleLoggingEnabled
OpenSim.Region.PhysicsModule.BulletS,OpenSim/Region/PhysicsModules/BulletS/BSScene.cs,398,false,BulletSim:VehiclePhysicalLoggingEnabled
OpenSim.Region.PhysicsModule.Meshing,OpenSim/Region/PhysicsModules/Meshing/Meshmerizer/Meshmerizer.cs,102,"""j2kDecodeCache""",Startup:DecodedSculptMapPath
OpenSim.Region.UserStatistics,OpenSim/Region/OptionalModules/UserStatistics/WebStatsModule.cs,84,false,WebStats:enabled
OpenSim.Region.OptionalModules.ViewerSupport,OpenSim/Region/OptionalModules/ViewerSupport/CameraOnlyModeModule.cs,79,false,CameraOnlyModeModule:enabled
OpenSim.Region.OptionalModules.ViewerSupport,OpenSim/Region/OptionalModules/ViewerSupport/CameraOnlyModeModule.cs,82,0,CameraOnlyModeModule:UserLevel
OpenSim.Region.OptionalModules.ViewerSupport,OpenSim/Region/OptionalModules/ViewerSupport/DynamicFloaterModule.cs,77,false,DynamicFloaterModule:enabled
OpenSim.Region.OptionalModules.ViewerSupport,OpenSim/Region/OptionalModules/ViewerSupport/DynamicMenuModule.cs,82,false,DynamicMenuModule:enabled
OpenSim.Region.OptionalModules.ViewerSupport,OpenSim/Region/OptionalModules/ViewerSupport/GodNamesModule.cs,61,false,GodNames:Enabled
OpenSim.Region.OptionalModules.ViewerSupport,OpenSim/Region/OptionalModules/ViewerSupport/SpecialUIModule.cs,80,false,SpecialUIModule:enabled
OpenSim.Region.OptionalModules.ViewerSupport,OpenSim/Region/OptionalModules/ViewerSupport/SpecialUIModule.cs,83,0,SpecialUIModule:UserLevel
OpenSim.Region.OptionalModules.World.AutoBackup,OpenSim/Region/OptionalModules/World/AutoBackup/AutoBackupModule.cs,158,false,AutoBackupModule:AutoBackupModuleEnabled
OpenSim.Region.OptionalModules.World.AutoBackup,OpenSim/Region/OptionalModules/World/AutoBackup/AutoBackupModule.cs,337,""".""",
OpenSim.Region.OptionalModules.World.AutoBackup,OpenSim/Region/OptionalModules/World/AutoBackup/AutoBackupModule.cs,356,720,
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,264,"""""",Startup:economymodule
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,269,"""""",Economy:economymodule
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,271,"""""",Economy:EconomyModule
OpenSim.Region.OptionalModules.World.MoneyModule,OpenSim/Region/OptionalModules/World/MoneyModule/SampleMoneyModule.cs,285,0,Economy:PriceEnergyUnit
