Section                | Key                                       | Value in OpenSimDefaults.ini                                                                                                                                                                                                | Value in OpenSim.ini                                                                                                                                                                                                        | Value in OpenSim.ini.template                                               
BulletSim              | AvatarStepGroundFudge                     | 0.1         ; Fudge added to bottom of avatar below which step collisions happen                                                                                                                                            | 0.1         ; Fudge added to bottom of avatar below which step collisions happen                                                                                                                                            | 0.1                                                                         
BulletSim              | AvatarStepForceFactor                     | 0           ; Avatar is pushed up by its mass times this factor                                                                                                                                                             | 0           ; Avatar is pushed up by its mass times this factor                                                                                                                                                             | 0                                                                           
BulletSim              | AvatarStepUpCorrectionFactor              | 0.8  ; Avatar is displaced up the collision height times this factor                                                                                                                                                        | 0.8  ; Avatar is displaced up the collision height times this factor                                                                                                                                                        | 0.8                                                                         
BulletSim              | AvatarStepSmoothingSteps                  | 1        ; Number of frames after a step collision that up correction is applied                                                                                                                                            | 1        ; Number of frames after a step collision that up correction is applied                                                                                                                                            | 1                                                                           
BulletSim              | LinkImplementation                        | 1      ; 0=constraint, 1=compound                                                                                                                                                                                           | 1      ; 0=constraint, 1=compound                                                                                                                                                                                           | 1                                                                           
RemoteAdmin            | access_ip_addresses                       | 0.0.0.0, 0.0.0.0 ...                                                                                                                                                                                                        | 0.0.0.0, 0.0.0.0 ...                                                                                                                                                                                                        |                                                                             
IRC                    | enabled                                   | false; you need to set this to true otherwise it won't connect                                                                                                                                                              | false; you need to set this to true otherwise it won't connect                                                                                                                                                              | false                                                                       
Wind                   | wind_plugin                               | SimpleRandomWind                                                                                                                                                                                                            | ConfigurableWind                                                                                                                                                                                                            | SimpleRandomWind                                                            
Wind                   | avg_strength                              | 5.0                                                                                                                                                                                                                         | 3.0                                                                                                                                                                                                                         | 3.0                                                                         
Wind                   | avg_direction                             | 0.0                                                                                                                                                                                                                         | 45.0                                                                                                                                                                                                                        | 0.0                                                                         
Wind                   | var_strength                              | 0.0                                                                                                                                                                                                                         | 2.0                                                                                                                                                                                                                         | 1.0                                                                         
Wind                   | var_direction                             | 0.0                                                                                                                                                                                                                         | 15.0                                                                                                                                                                                                                        | 90.0                                                                        
Wind                   | rate_change                               | 1.0                                                                                                                                                                                                                         | 0.35                                                                                                                                                                                                                        | 1.0                                                                         
Trees                  | enabled                                   | true                                                                                                                                                                                                                        | true                                                                                                                                                                                                                        | false                                                                       
LL-Functions           | LowerAvatarBoundingBoxStandingXconst      | -0.275                                                                                                                                                                                                                      | -0.275                                                                                                                                                                                                                      | -0.275    ; PURPOSE: left extent X constant when standing                   
LL-Functions           | UpperAvatarBoundingBoxStandingXconst      | 0.275                                                                                                                                                                                                                       | 0.275                                                                                                                                                                                                                       | 0.275    ; PURPOSE: right extent X constant when standing                   
LL-Functions           | LowerAvatarBoundingBoxStandingYconst      | -0.35                                                                                                                                                                                                                       | -0.35                                                                                                                                                                                                                       | -0.35     ; PURPOSE: back extent Y constant when standing                   
LL-Functions           | UpperAvatarBoundingBoxStandingYconst      | 0.35                                                                                                                                                                                                                        | 0.35                                                                                                                                                                                                                        | 0.35     ; PURPOSE: front extent Y constant when standing                   
LL-Functions           | LowerAvatarBoundingBoxStandingZconst      | -0.1                                                                                                                                                                                                                        | -0.1                                                                                                                                                                                                                        | -0.1      ; PURPOSE: base Z constant when standing                          
LL-Functions           | LowerAvatarBoundingBoxStandingZcoeff      | -0.5                                                                                                                                                                                                                        | -0.5                                                                                                                                                                                                                        | -0.5      ; PURPOSE: base Z scaled by avatar height when standing           
LL-Functions           | UpperAvatarBoundingBoxStandingZconst      | 0.1                                                                                                                                                                                                                         | 0.1                                                                                                                                                                                                                         | 0.1      ; PURPOSE: top Z constant when standing                            
LL-Functions           | UpperAvatarBoundingBoxStandingZcoeff      | 0.5                                                                                                                                                                                                                         | 0.5                                                                                                                                                                                                                         | 0.5      ; PURPOSE: top Z scaled by avatar height when standing             
LL-Functions           | LowerAvatarBoundingBoxGroundsittingXconst | -0.3875                                                                                                                                                                                                                     | -0.3875                                                                                                                                                                                                                     | -0.3875  ; PURPOSE: left extent X constant when ground-sitting              
LL-Functions           | UpperAvatarBoundingBoxGroundsittingXconst | 0.3875                                                                                                                                                                                                                      | 0.3875                                                                                                                                                                                                                      | 0.3875  ; PURPOSE: right extent X constant when ground-sitting              
LL-Functions           | LowerAvatarBoundingBoxGroundsittingYconst | -0.5                                                                                                                                                                                                                        | -0.5                                                                                                                                                                                                                        | -0.5     ; PURPOSE: back extent Y constant when ground-sitting              
LL-Functions           | UpperAvatarBoundingBoxGroundsittingYconst | 0.5                                                                                                                                                                                                                         | 0.5                                                                                                                                                                                                                         | 0.5     ; PURPOSE: front extent Y constant when ground-sitting              
LL-Functions           | LowerAvatarBoundingBoxGroundsittingZconst | -0.05                                                                                                                                                                                                                       | -0.05                                                                                                                                                                                                                       | -0.05    ; PURPOSE: base Z constant when ground-sitting                     
LL-Functions           | LowerAvatarBoundingBoxGroundsittingZcoeff | -0.375                                                                                                                                                                                                                      | -0.375                                                                                                                                                                                                                      | -0.375   ; PURPOSE: base Z scaled by avatar height when ground-sitting      
