Key                         | Reader locations                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Defaults used                                                               | Risk description                                        
shout_distance              | OpenSim/Region/ScriptEngine/Shared/Api/Implementation/LSL_Api.cs:533 (section=SMTP, default=m_shoutdistance); OpenSim/Region/CoreModules/Scripting/WorldComm/WorldCommModule.cs:121 (section=Chat, default=m_shoutdistance); OpenSim/Region/CoreModules/Avatar/Chat/ChatModule.cs:80 (section=Chat, default=m_shoutdistance)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | m_shoutdistance                                                             | read from multiple sections                             
enabled                     | OpenSim/Region/OptionalModules/UserStatistics/WebStatsModule.cs:84 (section=WebStats, default=false); OpenSim/Region/OptionalModules/ViewerSupport/CameraOnlyModeModule.cs:79 (section=CameraOnlyModeModule, default=false); OpenSim/Region/OptionalModules/ViewerSupport/DynamicFloaterModule.cs:77 (section=DynamicFloaterModule, default=false); OpenSim/Region/OptionalModules/ViewerSupport/DynamicMenuModule.cs:82 (section=DynamicMenuModule, default=false); OpenSim/Region/OptionalModules/ViewerSupport/SpecialUIModule.cs:80 (section=SpecialUIModule, default=false); OpenSim/Region/OptionalModules/World/TreePopulator/TreePopulatorModule.cs:185 (section=Trees, default=m_enabled); OpenSim/Region/OptionalModules/Scripting/RegionReadyModule/RegionReadyModule.cs:78 (section=RegionReady, default=false); OpenSim/Region/OptionalModules/Avatar/Chat/IRCBridgeModule.cs:79 (section=IRC, default=false); OpenSim/Region/OptionalModules/Avatar/Concierge/ConciergeModule.cs:85 (section=Concierge, default=false); OpenSim/Region/OptionalModules/Avatar/Concierge/ConciergeModule.cs:103 (section=Chat, default=true); OpenSim/Region/OptionalModules/Avatar/Voice/VivoxVoice/VivoxVoiceModule.cs:123 (section=VivoxVoice, default=false); OpenSim/Region/CoreModules/World/Wind/WindModule.cs:74 (section=Wind, default=true); OpenSim/Region/CoreModules/Scripting/EMailModules/EmailModule.cs:133 (section=SMTP, default=false); OpenSim/Region/CoreModules/Avatar/Chat/ChatModule.cs:71 (section=Chat, default=true); OpenSim/ApplicationPlugins/RemoteController/RemoteAdminPlugin.cs:104 (section=RemoteAdmin, default=false)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | false; m_enabled; true                                                      | read from multiple sections; different fallback defaults
UserLevel                   | OpenSim/Region/OptionalModules/ViewerSupport/CameraOnlyModeModule.cs:82 (section=CameraOnlyModeModule, default=0); OpenSim/Region/OptionalModules/ViewerSupport/SpecialUIModule.cs:83 (section=SpecialUIModule, default=0)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 0                                                                           | read from multiple sections                             
server                      | OpenSim/Region/OptionalModules/Avatar/Chat/ChannelState.cs:163 (section=UNKNOWN, default=null); OpenSim/Region/OptionalModules/Avatar/Chat/RegionState.cs:102 (section=UNKNOWN, default="")                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | ""; null                                                                    | different fallback defaults                             
access_password             | OpenSim/Region/OptionalModules/Avatar/Chat/ChannelState.cs:212 (section=UNKNOWN, default=cs.AccessPassword); OpenSim/Region/OptionalModules/Avatar/Chat/IRCBridgeModule.cs:88 (section=RemoteAdmin, default=m_password); OpenSim/ApplicationPlugins/RemoteController/RemoteAdminPlugin.cs:112 (section=RemoteAdmin, default=String.Empty)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | String.Empty; cs.AccessPassword; m_password                                 | read from multiple sections; different fallback defaults
Module                      | OpenSim/Region/OptionalModules/Avatar/XmlRpcGroups/GroupsModule.cs:108 (section=Groups, default="Default"); OpenSim/Region/CoreModules/World/Sound/SoundModule.cs:78 (section=Sounds, default="OpenSim.Region.CoreModules.dll:SoundModule"); OpenSim/Region/CoreModules/Avatar/Groups/GroupsModule.cs:83 (section=Groups, default="Default"); OpenSim/Addons/Groups/GroupsModule.cs:83 (section=Groups, default="Default")                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | "Default"; "OpenSim.Region.CoreModules.dll:SoundModule"                     | read from multiple sections; different fallback defaults
ServicesConnectorModule     | OpenSim/Region/OptionalModules/Avatar/XmlRpcGroups/XmlRpcGroupsServicesConnectorModule.cs:166 (section=Groups, default="XmlRpcGroupsServicesConnector"); OpenSim/Addons/Groups/Hypergrid/GroupsServiceHGConnectorModule.cs:76 (section=Groups, default=string.Empty); OpenSim/Addons/Groups/Local/GroupsServiceLocalConnectorModule.cs:85 (section=Groups, default=string.Empty); OpenSim/Addons/Groups/Remote/GroupsServiceRemoteConnectorModule.cs:90 (section=Groups, default=string.Empty)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | "XmlRpcGroupsServicesConnector"; string.Empty                               | different fallback defaults                             
Port                        | OpenSim/Region/OptionalModules/Agent/InternetRelayClientView/IRCStackModule.cs:59 (section=IRCd, default=6666); OpenSim/Region/CoreModules/World/Estate/EstateModule.cs:82 (section=Estates, default=0); OpenSim/Region/CoreModules/Avatar/Friends/FriendsModule.cs:176 (section=Friends, default=0)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 0; 6666                                                                     | read from multiple sections; different fallback defaults
MarkerPath                  | OpenSim/Region/Framework/Scenes/Scene.cs:1138 (section=RestartModule, default=string.Empty); OpenSim/Region/Framework/Scenes/Scene.cs:1817 (section=RestartModule, default=string.Empty); OpenSim/Region/CoreModules/World/Region/RestartModule.cs:72 (section=RestartModule, default=String.Empty)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | String.Empty; string.Empty                                                  | different fallback defaults                             
strength                    | OpenSim/Region/CoreModules/World/Wind/Plugins/ConfigurableWind.cs:94 (section=UNKNOWN, default=5.0F); OpenSim/Region/CoreModules/World/Wind/Plugins/SimpleRandomWind.cs:79 (section=UNKNOWN, default=1.0F)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 1.0F; 5.0F                                                                  | different fallback defaults                             
